Krishna.ACT.Stem.Like,Krishna.ACT.Term.Diff,Li.CD8.DYS,TOX_Scott,Wu.8EFF,Wu.8EM,Wu.8Trm.1,Wu.8Trm.2,Wu.8Trm.3,Wu.8chrom,Wu.8Mit,Wu.8KLRB1,Oh.CD8.CD39,Oh.CD8.Naive,Oh.CD8.HSP,Oh.CD8.MAIT,Oh.CD8.FGFBP2,Oh.CD8.RPL,Oh.CD8.MITO,Oh.CD8.XCL,Oh.CD8.CM,Oh.CD8.PRO,Mel_Exhaust_Tirosh,CD8_G_Feldman,CD8_B_Feldman,Exhaust_1_Feldman,Exhaust_2_Feldman,Exhaust_3_Feldman,Mem_Eff_4_Feldman,Early.Act_5_Feldman,Mem_Eff_6_Feldman,LCMV_PROG.EX_Miller,LCMV_TERMN.EX_Miller,B16_PROG.EX_Miller,B16_TERMINAL.EX_Miller,Wu.CD4.Trm,Wu.CD4.RPL32,Wu.CD4.TCF7,Wu.CD4.FOS,Wu.CD4.IL6ST,Wu.Treg.1,Wu.Treg.2,CD3.MT,Oh.CD4.CM,Oh.CD4IL2RAHI,Oh.CD4IL2RALO,Oh.CD4.Activate,Oh.CD4.GZMB,Oh.CD4.GZMK,Oh.CD4.TH17,Oh.CD4.CXCL13,Oh.CD4.MITO,Oh.CD4.HSP,Oh.CD4.PROLIF,Oh.TIL_CD4IL2RAHI,Oh.TIL_CD4IL2RALO,Oh.TIL_CD4.GZMB,Oh.TIL_CD4.GZMK,Oliveira.TEM,Oliveira.TAct,Oliveira.TPE,Oliveira.TProl,Oliveira.TTE,Oliveira.Tumor-spec TTE,Oliveira.Tumor spec-TAct,Oliveira.Tumor spec-TPE,Oliveira.Tumor-spec TProl,Oliveira.Tumor-spec TEM,Yost_Naive,Yost_CD8_Memory,Yost_CD8 Eff mem,Yost_CD8 Activated,Yost_CD8 Act/Exh,Yost_CD8 Exh,Jansen_Stem like,Jansen_Term diff,Caushi.CD8-TRM(1),Caushi.CD8-Effector(1),Caushi.CD4-Th(1),Caushi.CD8-Effector(2),Caushi.CD4-Th(2),Caushi.CD4-Treg,Caushi.MAIT,Caushi.CD4-Tfh(1),Caushi.Stem-like memory,Caushi.CD8-TRM(2),Caushi.CD4-Tfh(2),Caushi.CD8-Effector(3),Caushi.CD4-Th(3),Caushi.CD8-MHCII,Caushi.CD8-Proliferating,Caushi.CD4CD8(I),Caushi.CD4CD8(II),Caushi.CD8.Effector(I),Caushi.CD8.Effector(II),Caushi.CD8.Effector(III),Caushi.CD8.TRM(I),Caushi.CD8.TRM(II),Caushi.CD8.TRM(III),Caushi.CD8.TRM(IV),Caushi.CD8.TRM(V),Caushi.CD8.TRM(VI),Caushi.CD8.CD4CD8(I),Caushi.CD8.CD4CD8(II),Caushi.CD8.Stem-like memory,Caushi.CD8.MAIT,Caushi.CD8.Proliferating
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GADD45G,CCDC6,FANCI,DUSP5,OASL,GADD45B,REL,HIST1H1D,GNLY,,,HSH2D,HLA-DQB1,HNRNPLL,MT2A,,CCDC141,,,,RGS1,,CRADD,,ZBTB10,RIPOR2,PTGDR,,MYBL1,,TXN,ATAD5,,TNFAIP8,,,,,,,,TP53INP1,,,TNFAIP8,NOSIP,,BIRC5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RGS16,KIAA1324,FAM111B,IFIT1,ANXA1,CCL3,GSTP1,H2AFZ,TCF7,,,ARPC2,KCNA3,ACTB,PGK1,,TNFRSF9,,,,TAGAP,,FRMD4B,,HOOK2,ZNF331,ATP1B1,,LILRB1,,S100A6,GZMH,,PPP1R2,,,,,,,,CARD16,,,PPP1R2,SERINC5,,CTNNAL1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TIPARP,CHN1,DTL,SLC1A4,GZMB,JUNB,PKM,KIF22,KLF3,,,,STAT1,HNRNPDL,FKBP1A,,SEMA4A,,,,ITM2A,,CD4,,TRIM8,EMP3,AC007384.1,,AC004687.1,,JCHAIN,CCL3,,IRF4,,,,,,,,AC243829.4,,,IRF4,FXYD7,,GALM
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NFKBIZ,ANKRD10,TPX2,GOLIM4,MX1,NR4A1,SELENOH,HMGB2,FOS,,,,BHLHE40,TUBB,DUSP4,,ENTPD1,,,,PTTG1,,ZC2HC1A,,FCMR,GIMAP7,TNIP3,,PLAC8,,DDAH2,CDC20,,NAB1,,,,,,,,CTNNAL1,,,NAB1,ATM,,HIST1H2AJ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCL4,CD70,CENPH,RSAD2,RPS26,DNAJA1,CD74,PKMYT1,RPS12,,,,ZFP36L2,CLIC1,GNG4,,HLA-DQA1,,,,RNF19A,,IL6R,,SRGN,WDR74,LYAR,,AUTS2,,,HIST1H2AL,,LAYN,,,,,,,,NFKBIE,,,LAYN,CD28,,HIST1H2AL
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD83,PRRG4,MCM2,DNPH1,PBXIP1,PPP1R15A,NME2,H2AFV,PRNP,,,,GZMA,SKAP1,CAPG,,AKAP5,,,,CTSC,,THADA,,ZDBF2,RIC3,CLDND1,,,,,VCAM1,,AHR,,,,,,,,MIR181A1HG,,,AHR,,,ITM2A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PPP1R10,TNFSF4,SMC2,NBL1,LEPROTL1,HSPB1,RPLP0,CDT1,KLF2,,,,TUBB4B,CBLB,PHLDA1,,CD200R1,,,,XCL2,,CD177,,DRAIC,CYSLTR1,LAG3,,,,,,,TXNIP,,,,,,,,NMB,,,TXNIP,,,HIST1H1E
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CCL4L2,CORO1B,CKS1B,ACOT9,RSAD2,HSPH1,TCF7,PCNA,PABPC1,,,,TNFAIP3,HMGB2,RBPJ,,,,,,PDCD1,,RORA,,NDUFV2-AS1,ITGB1,CLEC2B,,,,,,,ZC3H12D,,,,,,,,HLA-DRB5,,,ZC3H12D,,,SAP18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SESN2,DNAJB4,CCDC34,ABHD6,SELPLG,KLF6,,DUT,ABLIM1,,,,PMAIP1,BLOC1S1,SAMSN1,,,,,,SLA,,ATP1B1,,CTLA4,CD5,ALOX5AP,,,,,,,ADTRP,,,,,,,,PYHIN1,,,ADTRP,,,CDCA2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CHMP1B,MAGEH1,STMN1,OAS1,ARHGAP9,RGS1,,CKS2,RPS16,,,,TUBA1A,IFI6,HLA-DRB5,,,,,,TNIP3,,PFKFB3,,RNF130,SAMHD1,TGFB1,,,,,,,RORA,,,,,,,,SMC4,,,RORA,,,ZNF367
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LEF1,ICAM1,ATAD5,SLC27A2,ATP1B3,ATF3,,ASPM,KLRD1,,,,CCL5,IGFLR1,MYO7A,,,,,,XCL1,,LINC02195,,PRMT9,SERINC5,LGALS3,,,,,,,DUSP4,,,,,,,,CENPF,,,DUSP4,,,SOX4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CSKMT,GGT1,ECT2,ZBP1,CCL5,DEDD2,,TPX2,GZMM,,,,SCML4,IFI16,RAB27A,,,,,,,,CD70,,BEX2,,RUNX3,,,,,,,SAMSN1,,,,,,,,CITED2,,,SAMSN1,,,CCL3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HEXIM1,NINJ2,CENPE,CD200R1,RARRES3,RGS2,,BIRC5,CDKN1A,,,,XCL1,SAMSN1,SYTL3,,,,,,,,MIR181A1HG,,TP53INP1,,GALNT2,,,,,,,HMGB2,,,,,,,,RASGEF1B,,,HMGB2,,,MIS18BP1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA2,BLVRA,UBE2T,OAS3,S100A11,XCL1,,TOP2A,RPL3,,,,BCL2A1,DUSP4,ETV1,,,,,,,,FAM122C,,KIAA0319L,,IFNG,,,,,,,PBX4,,,,,,,,PLIN2,,,PBX4,,,LGALS1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MRPL18,FAAH2,HIST1H1D,CMPK2,ANXA2,HSP90AA1,,CENPW,SLC2A3,,,,SNHG12,BHLHE40,ATP10D,,,,,,,,AC007384.1,,PABPC1,,HAVCR2,,,,,,,RAB9A,,,,,,,,THEMIS,,,RAB9A,,,HIST1H1B
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RBKS,TOX2,NCAPH,TNFSF4,IFIT1,HSPD1,,ZWINT,GLUL,,,,CYTIP,CKS2,CD82,,,,,,,,ICAM2,,PMCH,,ANKRD28,,,,,,,GPR183,,,,,,,,SLAMF7,,,GPR183,,,BRCA2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CD55,SLK,NRM,POLR1E,IFIT3,CRTAM,,ANP32B,RPL13,,,,MCL1,CCL4L2,PKIA,,,,,,,,CD7,,MAML2,,SPRY1,,,,,,,GBP5,,,,,,,,CD200R1,,,GBP5,,,TROAP
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRDC2,CCDC141,BRCA2,CADM1,CREM,HSP90AB1,,CDCA5,RPL32,,,,RORA,ARL6IP5,PTMS,,,,,,,,GNG8,,TNFAIP8,,,,,,,,,CTSC,,,,,,,,IPCEF1,,,CTSC,,,HIST1H1D
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SC5D,ATF3,ARHGAP11A,HELZ2,CRIP1,ZFP36L1,,CDK1,RPS29,,,,ITGB2,GBP5,S100A4,,,,,,,,IL6ST,,ZNF831,,,,,,,,,ITK,,,,,,,,CTSC,,,ITK,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAM53C,INPP1,KIF23,SYTL2,TAGLN2,CMC1,,CKAP2L,CD44,,,,ACAP1,VAMP2,HMOX1,,,,,,,,PIM2,,GNG4,,,,,,,,,GEM,,,,,,,,PRDM1,,,GEM,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATP2B1-AS1,FAM3C,BUB1,AGPAT2,SRGN,GZMK,,SMC4,RPS27,,,,IFITM2,PAG1,RARRES3,,,,,,,,FBLN7,,CREM,,,,,,,,,CREM,,,,,,,,FOXN2,,,CREM,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IFNG,GADD45G,MASTL,UBE2F,SLC7A5,HSPE1,,TK1,TPT1,,,,EZR,PRF1,CD2,,,,,,,,LRRC32,,FAM177A1,,,,,,,,,RELB,,,,,,,,CD70,,,RELB,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MYC,APP,CENPM,GIMAP6,RALA,FOSB,,PTTG1,,,,,RGS16,ANKRD10,EID1,,,,,,,,IPCEF1,,NMB,,,,,,,,,VSIR,,,,,,,,GBP3,,,VSIR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TSC22D2,MAL,CDKN3,ZBTB32,APOBEC3G,CACYBP,,ASF1B,,,,,MYADM,RAB27A,APLP2,,,,,,,,GPCPD1,,BATF,,,,,,,,,RHOH,,,,,,,,RGS1,,,RHOH,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SERPINH1,SIT1,CENPN,RIN3,PLSCR1,XCL2,,CENPM,,,,,TMSB10,CDKN2A,PKM,,,,,,,,FOXP1,,SC5D,,,,,,,,,SLAMF1,,,,,,,,GLA,,,SLAMF1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LRIF1,DRAM1,NDC80,PLEKHF1,LITAF,JUN,,CDKN3,,,,,SNHG8,ITGA4,CAMK4,,,,,,,,BCL2L11,,PFKFB3,,,,,,,,,P2RY10,,,,,,,,TIFA,,,P2RY10,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARRDC3,CLECL1,RNASEH2A,CHPF,FTH1,CD69,,MAD2L1,,,,,STOM,RNF213,PTPN22,,,,,,,,RGS1,,CD5,,,,,,,,,GLRX,,,,,,,,EOMES,,,GLRX,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ILF3-DT,MDFIC,LIG1,PACSIN2,TGFB1,MALAT1,,CDC20,,,,,CMC2,THEMIS,KRT81,,,,,,,,FAAH2,,CYSLTR1,,,,,,,,,SH2D1A,,,,,,,,TOX,,,SH2D1A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INTS6,PMCH,PRC1,ABCB1,TNFSF10,TAGAP,,DNAJC9,,,,,RGS1,PKM,IL2RB,,,,,,,,GEM,,CD40LG,,,,,,,,,RBKS,,,,,,,,SLF1,,,RBKS,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ZNF10,HLA-DMB,HIST1H2AM,SPATS2L,GGA2,CHORDC1,,KIFC1,,,,,RPS10,LYST,ZNF282,,,,,,,,DUSP10,,SNX9,,,,,,,,,RNF19A,,,,,,,,TNFSF14,,,RNF19A,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,PRMT9,PHF6,DEPDC1B,USP18,IFITM3,PMAIP1,,CCNA2,,,,,ZC3HAV1,MYL12A,CREBZF,,,,,,,,LGMN,,PGM2L1,,,,,,,,,SOCS1,,,,,,,,TNFAIP8,,,SOCS1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ATM,AFAP1L2,PHGDH,TMEM9,,GLA,,TMEM106C,,,,,ZNF331,ITGB7,GTF3C1,,,,,,,,TSPYL2,,TOX,,,,,,,,,TSPYL2,,,,,,,,FASLG,,,TSPYL2,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SELL,BTN2A2,E2F1,KLRC1,,MRPL18,,CENPN,,,,,MYL12A,SNHG12,PRDX5,,,,,,,,PKIA,,ITK,,,,,,,,,TRAF1,,,,,,,,PECAM1,,,TRAF1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AC243960.1,CCL4L2,TIMELESS,MPST,,ID2,,CENPU,,,,,BRD2,NAB1,PRKAR1A,,,,,,,,PRDM1,,CMSS1,,,,,,,,,44258,,,,,,,,BCL2A1,,,03.Mar,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HSPA8,,HIST2H2AC,,,,,,,,,,,,,,,FAS,,TIAM1,,,,,,,,,ENTPD1,,,,,,,,AC243960.1,,,ENTPD1,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,RSRP1,,ACTB,,,,,,,,,,,,,,,NABP1,,GLIPR1,,,,,,,,,SOX4,,,,,,,,DDAH2,,,SOX4,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOX4,,PLIN2,,,,,,,,,MAL,,,,,,,,IL10,,,MAL,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HOXB2,,SERINC5,,,,,,,,,,,,,,,,,MBNL2,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,LINC00649,,SCML1,,,,,,,,,,,,,,,,,NAF1,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GCNT1,,CHN1,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,YPEL2,,G0S2,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,F5,,,,,,,,,,,,,,,,,,,,,,,,,
